lat,lon,sst,qual_sst
22.923735,38.645832,18.67,0.0
22.923735,38.645832,24.535,0.0
22.923735,38.645832,24.015,0.0
22.923735,38.645832,23.935,0.0
22.923735,38.645832,23.939999,0.0
22.923735,38.645832,24.039999,0.0
22.923735,38.645832,24.01,0.0
22.923735,38.645832,24.144999,0.0
22.923735,38.645832,24.115,0.0
22.923735,38.645832,24.135,0.0
22.923735,38.645832,24.045,0.0
22.923735,38.645832,23.935,0.0
23.883524,37.479168,23.91,0.0
23.883524,37.479168,23.935,0.0
23.883524,37.479168,23.975,0.0
23.883524,37.479168,24.205,0.0
23.883524,37.479168,24.4,0.0
23.883524,37.479168,24.26,0.0
23.883524,37.479168,24.18,0.0
23.883524,37.479168,24.185,0.0
23.883524,37.479168,24.225,0.0
23.883524,37.479168,24.23,0.0
23.883524,37.479168,24.225,0.0
23.883524,37.479168,24.289999,0.0
23.883524,37.979168,24.43,0.0
23.883524,37.979168,24.625,0.0
23.883524,37.979168,24.619999,0.0
23.883524,37.979168,24.675,0.0
23.883524,37.979168,24.63,0.0
23.883524,37.979168,24.84,0.0
23.883524,37.979168,25.0,0.0
23.883524,37.979168,25.13,0.0
23.883524,37.979168,25.435,0.0
23.883524,37.979168,24.58,0.0
23.883524,37.979168,24.564999,0.0
23.883524,37.979168,24.775,0.0
23.883524,35.6875,25.019999,0.0
23.883524,35.6875,25.215,0.0
23.883524,35.6875,25.359999,0.0
23.883524,35.6875,25.48,0.0
23.883524,35.6875,25.519999,0.0
23.883524,35.6875,25.505,0.0
23.883524,35.6875,25.47,0.0
23.883524,35.6875,25.494999,0.0
23.883524,35.6875,25.46,0.0
23.883524,35.6875,25.279999,0.0
23.883524,35.6875,25.225,0.0
23.883524,35.6875,25.46,0.0
23.883524,36.3125,25.475,0.0
23.883524,36.3125,25.475,0.0
23.883524,36.3125,25.539999,0.0
23.883524,36.3125,25.535,0.0
23.883524,36.3125,25.465,0.0
23.883524,36.3125,25.425,0.0
23.883524,36.3125,25.43,0.0
23.883524,36.3125,25.43,0.0
23.883524,36.3125,25.385,0.0
23.883524,36.3125,25.289999,0.0
23.883524,36.3125,25.24,0.0
23.883524,36.3125,24.689999,0.0
23.883524,36.770832,24.725,0.0
23.883524,36.770832,24.619999,0.0
23.883524,36.770832,24.119999,0.0
23.883524,36.770832,23.914999,0.0
23.883524,36.770832,23.965,0.0
23.883524,36.770832,24.14,0.0
23.883524,36.770832,24.13,0.0
23.883524,36.770832,24.06,0.0
23.883524,36.770832,23.99,0.0
23.883524,36.770832,23.93,0.0
23.883524,36.770832,23.89,0.0
23.883524,36.770832,23.9,0.0
23.841793,37.354168,23.885,0.0
23.841793,37.354168,24.17,0.0
23.841793,37.354168,24.234999,0.0
23.841793,37.354168,24.06,0.0
23.841793,37.354168,23.994999,0.0
23.841793,37.354168,24.035,0.0
23.841793,37.354168,24.019999,0.0
23.841793,37.354168,24.0,0.0
23.841793,37.354168,24.01,0.0
23.841793,37.354168,24.23,0.0
23.841793,37.354168,24.49,0.0
23.841793,37.354168,24.49,0.0
23.841793,37.854168,24.564999,0.0
23.841793,37.854168,24.585,0.0
23.841793,37.854168,24.574999,0.0
23.841793,37.854168,24.56,0.0
23.841793,37.854168,24.6,0.0
23.841793,37.854168,23.92,0.0
23.841793,37.854168,24.414999,0.0
23.841793,37.854168,24.56,0.0
23.841793,37.854168,25.38,0.0
23.841793,37.854168,24.73,0.0
23.841793,37.854168,24.994999,0.0
23.841793,37.854168,25.22,0.0
23.841793,37.020832,25.345,0.0
23.841793,37.020832,25.46,0.0
23.841793,37.020832,25.484999,0.0
23.841793,37.020832,25.435,0.0
23.841793,37.020832,25.38,0.0
23.841793,37.020832,25.39,0.0
23.841793,37.020832,25.414999,0.0
23.841793,37.020832,25.439999,0.0
23.841793,37.020832,25.51,0.0
23.841793,37.020832,25.38,0.0
23.841793,37.020832,25.039999,0.0
23.841793,37.020832,25.369999,0.0
23.841793,36.1875,25.449999,0.0
23.841793,36.1875,25.539999,0.0
23.841793,36.1875,25.494999,0.0
23.841793,36.1875,25.449999,0.0
23.841793,36.1875,25.449999,0.0
23.841793,36.1875,25.475,0.0
23.841793,36.1875,25.435,0.0
23.841793,36.1875,25.314999,0.0
23.841793,36.1875,25.22,0.0
23.841793,36.1875,25.189999,0.0
23.841793,36.1875,25.095,0.0
23.841793,36.1875,24.675,0.0
23.841793,36.6875,24.744999,0.0
23.841793,36.6875,24.72,0.0
23.841793,36.6875,23.89,0.0
23.841793,36.6875,24.59,0.0
23.841793,36.6875,24.095,0.0
23.841793,36.6875,23.96,0.0
23.841793,36.6875,23.97,0.0
23.841793,36.6875,23.97,0.0
23.841793,36.6875,24.17,0.0
23.841793,36.6875,24.24,0.0
23.841793,36.6875,24.234999,0.0
23.841793,36.6875,24.154999,0.0
23.966984,37.270832,24.025,0.0
23.966984,37.270832,23.91,0.0
23.966984,37.270832,23.855,0.0
23.966984,37.270832,24.09,0.0
23.966984,37.270832,25.205,0.0
23.966984,37.270832,24.33,0.0
23.966984,37.270832,24.519999,0.0
23.966984,37.270832,24.64,0.0
23.966984,37.270832,24.699999,0.0
23.966984,37.270832,24.8,0.0
23.966984,37.270832,24.83,0.0
23.966984,37.270832,24.835,0.0
23.966984,37.8125,24.824999,0.0
23.966984,37.8125,24.769999,0.0
23.966984,37.8125,24.705,0.0
23.966984,37.8125,24.625,0.0
23.966984,37.8125,24.609999,0.0
23.966984,37.8125,25.035,0.0
23.966984,37.8125,25.279999,0.0
23.966984,37.8125,24.58,0.0
23.966984,37.8125,25.455,0.0
23.966984,37.8125,24.74,0.0
23.966984,37.8125,24.725,0.0
23.966984,37.8125,24.73,0.0
23.966984,38.270832,24.824999,0.0
23.966984,38.270832,25.029999,0.0
23.966984,38.270832,25.23,0.0
23.966984,38.270832,25.355,0.0
23.966984,38.270832,25.375,0.0
23.966984,38.270832,25.51,0.0
23.966984,38.270832,25.529999,0.0
23.966984,38.270832,25.56,0.0
23.966984,38.270832,25.51,0.0
23.966984,38.270832,25.58,0.0
23.966984,38.270832,25.34,0.0
23.966984,38.270832,25.465,0.0
23.966984,36.104168,25.47,0.0
23.966984,36.104168,25.475,0.0
23.966984,36.104168,25.484999,0.0
23.966984,36.104168,25.47,0.0
23.966984,36.104168,25.46,0.0
23.966984,36.104168,25.34,0.0
23.966984,36.104168,25.404999,0.0
23.966984,36.104168,25.455,0.0
23.966984,36.104168,25.435,0.0
23.966984,36.104168,25.43,0.0
23.966984,36.104168,25.4,0.0
23.966984,36.104168,24.619999,0.0
23.966984,36.604168,24.699999,0.0
23.966984,36.604168,24.73,0.0
23.966984,36.604168,23.92,0.0
23.966984,36.604168,24.095,0.0
23.966984,36.604168,23.935,0.0
23.966984,36.604168,23.939999,0.0
23.966984,36.604168,23.97,0.0
23.966984,36.604168,24.039999,0.0
23.966984,36.604168,24.055,0.0
23.966984,36.604168,24.18,0.0
23.966984,36.604168,24.115,0.0
23.966984,36.604168,24.13,0.0
23.925253,35.6875,24.01,0.0
23.925253,35.6875,23.894999,0.0
23.925253,35.6875,23.865,0.0
23.925253,35.6875,24.039999,0.0
23.925253,35.6875,24.955,0.0
23.925253,35.6875,24.255,0.0
23.925253,35.6875,24.365,0.0
23.925253,35.6875,24.425,0.0
23.925253,35.6875,24.465,0.0
23.925253,35.6875,24.55,0.0
23.925253,35.6875,24.555,0.0
23.925253,35.6875,24.619999,0.0
23.925253,37.520832,24.664999,0.0
23.925253,37.520832,24.58,0.0
23.925253,37.520832,24.475,0.0
23.925253,37.520832,24.6,0.0
23.925253,37.520832,24.73,0.0
23.925253,37.520832,24.59,0.0
23.925253,37.520832,25.095,0.0
23.925253,37.520832,24.72,0.0
23.925253,37.520832,25.475,0.0
23.925253,37.520832,24.654999,0.0
23.925253,37.520832,24.675,0.0
23.925253,37.520832,24.859999,0.0
23.925253,38.020832,25.154999,0.0
23.925253,38.020832,25.269999,0.0
23.925253,38.020832,25.359999,0.0
23.925253,38.020832,25.465,0.0
23.925253,38.020832,25.494999,0.0
23.925253,38.020832,25.529999,0.0
23.925253,38.020832,25.484999,0.0
23.925253,38.020832,25.47,0.0
23.925253,38.020832,25.539999,0.0
23.925253,38.020832,25.435,0.0
23.925253,38.020832,25.25,0.0
23.925253,38.020832,25.455,0.0
23.925253,35.854168,25.519999,0.0
23.925253,35.854168,25.56,0.0
23.925253,35.854168,25.42,0.0
23.925253,35.854168,25.494999,0.0
23.925253,35.854168,25.4,0.0
23.925253,35.854168,25.369999,0.0
23.925253,35.854168,25.39,0.0
23.925253,35.854168,25.42,0.0
23.925253,35.854168,25.4,0.0
23.925253,35.854168,25.345,0.0
23.925253,35.854168,25.285,0.0
23.925253,35.854168,24.675,0.0
23.925253,36.395832,24.699999,0.0
23.925253,36.395832,24.75,0.0
23.925253,36.395832,24.435,0.0
23.925253,36.395832,24.055,0.0
23.925253,36.395832,24.06,0.0
23.925253,36.395832,24.015,0.0
23.925253,36.395832,24.064999,0.0
23.925253,36.395832,24.07,0.0
23.925253,36.395832,24.105,0.0
23.925253,36.395832,24.09,0.0
23.925253,36.395832,24.1,0.0
23.925253,36.395832,24.24,0.0
23.925253,36.854168,24.34,0.0
23.925253,36.854168,24.295,0.0
23.925253,36.854168,24.51,0.0
23.925253,36.854168,24.475,0.0
23.925253,36.854168,24.039999,0.0
23.925253,36.854168,24.56,0.0
23.925253,36.854168,24.695,0.0
23.925253,36.854168,24.81,0.0
23.925253,36.854168,24.904999,0.0
23.925253,36.854168,24.99,0.0
23.925253,36.854168,25.015,0.0
23.925253,36.854168,25.029999,0.0
23.716604,36.8125,25.144999,0.0
23.716604,36.8125,25.189999,0.0
23.716604,36.8125,25.164999,0.0
23.716604,36.8125,25.135,0.0
23.716604,36.8125,25.23,0.0
23.716604,36.8125,24.0,0.0
23.716604,36.8125,24.064999,0.0
23.716604,36.8125,25.314999,0.0
23.716604,36.8125,25.435,0.0
23.716604,36.8125,25.345,0.0
23.716604,36.8125,25.324999,0.0
23.716604,36.8125,25.314999,0.0
23.716604,37.3125,25.385,0.0
23.716604,37.3125,25.414999,0.0
23.716604,37.3125,25.375,0.0
23.716604,37.3125,25.41,0.0
23.716604,37.3125,25.445,0.0
23.716604,37.3125,25.39,0.0
23.716604,37.3125,25.404999,0.0
23.716604,37.3125,25.465,0.0
23.716604,37.3125,25.484999,0.0
23.716604,37.3125,25.355,0.0
23.716604,37.3125,24.105,0.0
23.716604,37.3125,25.26,0.0
23.716604,36.479168,25.195,0.0
23.716604,36.479168,25.189999,0.0
23.716604,36.479168,25.189999,0.0
23.716604,36.479168,24.55,0.0
23.716604,36.479168,24.185,0.0
23.716604,36.479168,24.074999,0.0
23.716604,36.479168,23.71,0.0
23.716604,36.479168,23.88,0.0
23.716604,36.479168,24.095,0.0
23.716604,36.479168,24.18,0.0
23.716604,36.479168,24.17,0.0
23.716604,36.479168,25.35,0.0
23.716604,35.604168,25.199999,0.0
23.716604,35.604168,25.21,0.0
23.716604,35.604168,24.89,0.0
23.716604,35.604168,23.939999,0.0
23.716604,35.604168,24.035,0.0
23.716604,35.604168,24.06,0.0
23.716604,35.604168,24.045,0.0
23.716604,35.604168,24.105,0.0
23.716604,35.604168,24.355,0.0
23.716604,35.604168,24.42,0.0
23.716604,35.604168,24.439999,0.0
23.716604,35.604168,24.449999,0.0
23.716604,36.145832,24.49,0.0
23.716604,36.145832,24.57,0.0
23.716604,36.145832,24.71,0.0
23.716604,36.145832,24.984999,0.0
23.716604,36.145832,23.859999,0.0
23.716604,36.145832,25.064999,0.0
23.716604,36.145832,25.07,0.0
