lat,lon,chlor_a
22.923735,38.645832,0.48788798
22.923735,38.645832,0.29658756
22.923735,38.645832,0.25697947
22.923735,38.645832,0.23338985
22.923735,38.645832,0.23758985
22.923735,38.645832,0.24674113
22.923735,38.645832,0.2374447
22.923735,38.645832,0.2187125
22.923735,38.645832,0.23585288
22.923735,38.645832,0.25073445
22.923735,38.645832,0.23640355
22.923735,38.645832,0.22035414
23.883524,37.479168,0.22023644
23.883524,37.479168,0.21718071
23.883524,37.479168,0.20754105
23.883524,37.479168,0.19844066
23.883524,37.479168,0.19252291
23.883524,37.479168,0.2235792
23.883524,37.479168,0.20611927
23.883524,37.479168,0.21255706
23.883524,37.479168,0.22122782
23.883524,37.479168,0.23796345
23.883524,37.479168,0.2466287
23.883524,37.479168,0.2388505
23.883524,37.979168,0.23262246
23.883524,37.979168,0.25519136
23.883524,37.979168,0.30271372
23.883524,37.979168,0.25724128
23.883524,37.979168,0.44765294
23.883524,37.979168,0.4881742
23.883524,37.979168,0.3893222
23.883524,37.979168,0.25022224
23.883524,37.979168,0.24069177
23.883524,37.979168,0.23181163
23.883524,37.979168,0.22075278
23.883524,37.979168,0.37583834
23.883524,35.6875,0.34745884
23.883524,35.6875,0.40058792
23.883524,35.6875,0.263835
23.883524,35.6875,0.2411404
23.883524,35.6875,0.23064983
23.883524,35.6875,0.23433794
23.883524,35.6875,0.23128802
23.883524,35.6875,0.2224619
23.883524,35.6875,0.21985643
23.883524,35.6875,0.21184298
23.883524,35.6875,0.19795957
23.883524,35.6875,0.21316944
23.883524,36.3125,0.21563578
23.883524,36.3125,0.227787
23.883524,36.3125,0.21883547
23.883524,36.3125,0.2249554
23.883524,36.3125,0.2263815
23.883524,36.3125,0.2227659
23.883524,36.3125,0.22448026
23.883524,36.3125,0.23884203
23.883524,36.3125,0.25487143
23.883524,36.3125,0.2499254
23.883524,36.3125,0.24170873
23.883524,36.3125,0.23423272
23.883524,36.770832,0.22508612
23.883524,36.770832,0.22684486
23.883524,36.770832,0.22924057
23.883524,36.770832,0.3774677
23.883524,36.770832,0.38930887
23.883524,36.770832,0.3753049
23.883524,36.770832,0.19155419
23.883524,36.770832,0.22945973
23.883524,36.770832,0.24107449
23.883524,36.770832,0.22807184
23.883524,36.770832,0.22107352
23.883524,36.770832,0.23255686
23.841793,37.354168,0.24135
23.841793,37.354168,0.22629026
23.841793,37.354168,0.22313853
23.841793,37.354168,0.2255802
23.841793,37.354168,0.20204894
23.841793,37.354168,0.18556479
23.841793,37.354168,0.18488888
23.841793,37.354168,0.18797873
23.841793,37.354168,0.1999257
23.841793,37.354168,0.24362451
23.841793,37.354168,0.2054152
23.841793,37.354168,0.21202394
23.841793,37.854168,0.4767891
23.841793,37.854168,0.2327158
23.841793,37.854168,0.24760358
23.841793,37.854168,0.2136778
23.841793,37.854168,0.22459951
23.841793,37.854168,0.37723172
23.841793,37.854168,0.50683856
23.841793,37.854168,0.5032281
23.841793,37.854168,0.43718642
23.841793,37.854168,0.36974087
23.841793,37.854168,0.3892413
23.841793,37.854168,0.23846377
23.841793,37.020832,0.23797548
23.841793,37.020832,0.34358695
23.841793,37.020832,0.21919592
23.841793,37.020832,0.53757304
23.841793,37.020832,0.3556544
23.841793,37.020832,0.24065869
23.841793,37.020832,0.23166114
23.841793,37.020832,0.2322478
23.841793,37.020832,0.21650465
23.841793,37.020832,0.20206372
23.841793,37.020832,0.19141977
23.841793,37.020832,0.19460954
23.841793,36.1875,0.2061983
23.841793,36.1875,0.21550086
23.841793,36.1875,0.21822664
23.841793,36.1875,0.21757105
23.841793,36.1875,0.22142124
23.841793,36.1875,0.23618248
23.841793,36.1875,0.21971785
23.841793,36.1875,0.21786451
23.841793,36.1875,0.22131169
23.841793,36.1875,0.22733134
23.841793,36.1875,0.24673857
23.841793,36.1875,0.25148043
23.841793,36.6875,0.23565619
23.841793,36.6875,0.22569396
23.841793,36.6875,0.21887779
23.841793,36.6875,0.21862413
23.841793,36.6875,0.22136506
23.841793,36.6875,0.22389017
23.841793,36.6875,0.22912158
23.841793,36.6875,0.42562234
23.841793,36.6875,0.45997187
23.841793,36.6875,0.5053628
23.841793,36.6875,0.21642266
23.841793,36.6875,0.23796448
23.966984,37.270832,0.22488135
23.966984,37.270832,0.2300217
23.966984,37.270832,0.25302285
23.966984,37.270832,0.24756366
23.966984,37.270832,0.21710576
23.966984,37.270832,0.21100375
23.966984,37.270832,0.21531183
23.966984,37.270832,0.21137457
23.966984,37.270832,0.21044669
23.966984,37.270832,0.22545676
23.966984,37.270832,0.22466749
23.966984,37.270832,0.21209694
23.966984,37.8125,0.22696313
23.966984,37.8125,0.2358095
23.966984,37.8125,0.23650342
23.966984,37.8125,0.24786212
23.966984,37.8125,0.27397534
23.966984,37.8125,0.3083798
23.966984,37.8125,0.32841334
23.966984,37.8125,0.34685412
23.966984,37.8125,0.37026885
23.966984,37.8125,0.343593
23.966984,37.8125,0.3436037
23.966984,37.8125,0.4063749
23.966984,38.270832,0.46100262
23.966984,38.270832,0.48847198
23.966984,38.270832,0.4874936
23.966984,38.270832,0.22617742
23.966984,38.270832,0.22377215
23.966984,38.270832,0.37583873
23.966984,38.270832,0.20579302
23.966984,38.270832,0.24467675
23.966984,38.270832,0.23625153
23.966984,38.270832,0.23514424
23.966984,38.270832,0.23897591
23.966984,38.270832,0.23651533
23.966984,36.104168,0.23059005
23.966984,36.104168,0.22772975
23.966984,36.104168,0.21542884
23.966984,36.104168,0.21656772
23.966984,36.104168,0.21406071
23.966984,36.104168,0.2084723
23.966984,36.104168,0.2100852
23.966984,36.104168,0.20791616
23.966984,36.104168,0.21018186
23.966984,36.104168,0.22367202
23.966984,36.104168,0.22129346
23.966984,36.104168,0.2352413
23.966984,36.604168,0.24795488
23.966984,36.604168,0.23936017
23.966984,36.604168,0.22559348
23.966984,36.604168,0.23243417
23.966984,36.604168,0.24654274
23.966984,36.604168,0.2497453
23.966984,36.604168,0.2452027
23.966984,36.604168,0.24500565
23.966984,36.604168,0.2476767
23.966984,36.604168,0.24899743
23.966984,36.604168,0.24632078
23.966984,36.604168,0.42553425
23.925253,35.6875,0.347393
23.925253,35.6875,0.37749282
23.925253,35.6875,0.20705315
23.925253,35.6875,0.24005294
23.925253,35.6875,0.2369904
23.925253,35.6875,0.231838
23.925253,35.6875,0.21764408
23.925253,35.6875,0.2229357
23.925253,35.6875,0.25212753
23.925253,35.6875,0.24631278
23.925253,35.6875,0.22007723
23.925253,35.6875,0.22269002
